🕘️更新时间,#genre#
2026-09-07 15:09:36,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=1745bf6d0266940b295cdf2f71f77173a9b1161d66940aa9f2817ca7ac7a53a1b5d9a8905bbdfab5cbf24dabcab04e2c12c15d23ff92cb069a44c8b383bb5545

央视,#genre#
CCTV1,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=1745bf6d0266940b295cdf2f71f77173a9b1161d66940aa9f2817ca7ac7a53a1b5d9a8905bbdfab5cbf24dabcab04e2c12c15d23ff92cb069a44c8b383bb5545
CCTV1,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=cab88c6fad753acd04dc2a5ce44eedb01857bfcd48cedeeeae37cf60c4205be695c96ecc784493ad2398c75dac169d0908153abe4552154ae6a912e2d8208139
CCTV1,http://39.107.95.182:3000/608807420
CCTV1,http://139.224.111.181:3000/608807420
CCTV1,http://124.77.202.8:49155/608807420
CCTV2,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=d775646e217c54034c48817193d4e0544966b5aac014c35a9784c8373baccf781404b23772e9dd00b65389841f5e2980fae7904762476ab6c26c6fd1c3b503c4
CCTV2,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=1745bf6d0266940b295cdf2f71f771731830d099c50117d4c4e11a6dc0b972b10ff4d316d594d8a29cb7176cc9173afe4e9f6e427331ca93f509695fbf20788d
CCTV2,http://39.107.95.182:3000/631780532
CCTV2,http://139.224.111.181:3000/631780532
CCTV2,http://124.77.202.8:49155/631780532
CCTV3,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=3d0e9243155df1122de0d96af46a15fd1c517eca896253bbc88579b36a42b87733040e16ca6df231018a2751c119319bd9a4ea4fa1257266a5665c8540a5353b
CCTV3,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=1745bf6d0266940b295cdf2f71f771738ead338d28d894c048e3b891603b4f611623fdc383e07142af5f8c5f1b4ed049676cf79bc161d225afec49db7048935f
CCTV3,http://39.107.95.182:3000/624878271
CCTV3,http://139.224.111.181:3000/624878271
CCTV3,http://124.77.202.8:49155/624878271
CCTV4,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=1745bf6d0266940b295cdf2f71f7717340e122bdc53298221a1ecf2289e23f716ebd79ad9e3783f31b670440bd4048b022b9854dde5600fa9e7e9ac323ebfb89
CCTV4,http://39.107.95.182:3000/631780421
CCTV4,http://139.224.111.181:3000/631780421
CCTV4,http://124.77.202.8:49155/631780421
CCTV5,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=1745bf6d0266940b295cdf2f71f771739eac1451ccea573e68ea432e96a428e6a43faff5ea0d36ac77b3578558b27cc4321cb103ec267a17c890b555de3eef1c7fca3b1a7484a80cfc3e2593663c4eb4
CCTV5,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=e4509aafae3fd3a9719e1e9f19ff1a12a1e88219d47b5198fe0244da01b38c9c85a3ff7c504f6e80957d8e48c0bd230761b3a35718429bffede1e4794688a152
CCTV5,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=1745bf6d0266940b295cdf2f71f77173cdaecde76082f6b4a7c1cf81049d2c3e4cbf78ccdbdcb35cf55480d58b25c9ed76da477b7eb3d3f20cc016654dc49aa0
CCTV5,http://39.107.95.182:3000/641886683
CCTV5,http://139.224.111.181:3000/641886683
CCTV5+,http://39.107.95.182:3000/641886773
CCTV5+,http://139.224.111.181:3000/641886773
CCTV5+,http://124.77.202.8:49155/641886773
CCTV6,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=bb485012567c02240c7872cfd3478b2d22bfd6e5e89497d195201f744b14e23c010183bfcf4d2f0454009ed070dbf130d8fd66927d662b22cee7798c5ec9dbfe
CCTV6,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=1745bf6d0266940b295cdf2f71f7717363970af5cbe2e58e4d780cca512232099666f1ea3d57bae8fa4305f6b826c16ef6e913609baf1a1794eb149065017ed6
CCTV6,http://39.107.95.182:3000/624878396
CCTV6,http://139.224.111.181:3000/624878396
CCTV6,http://124.77.202.8:49155/624878396
CCTV7,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=9c6a1ab729d3adc6e2f5ba338bda0753f86d5e166e0b30beb6938055811d9465098fe770bb90c4ab7b0b7a3ed1f47fb57d815d64e84ac9a6c1e813bf243e8af3
CCTV7,http://39.107.95.182:3000/673168121
CCTV7,http://139.224.111.181:3000/673168121
CCTV7,http://124.77.202.8:49155/673168121
CCTV8,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=e22597d95268258fec50b1f06514db2ecaf2c8856eb9dced03980c104e186607fb70c40f1f2d3317a60df996870c262e9a42bfde9f40c8417a7d2dfe78566a99
CCTV8,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=1745bf6d0266940b295cdf2f71f7717338bf98ca9637591508145ccf7197137853f2a33402504cc82c1e5f1793a8b1cd10cb80abcd919a0ecbbfaf1821cbb6de
CCTV8,http://39.107.95.182:3000/624878356
CCTV8,http://139.224.111.181:3000/624878356
CCTV8,http://124.77.202.8:49155/624878356
CCTV9,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=9c6a1ab729d3adc6e2f5ba338bda07535a4a4ceb882d210ac8f7a9d13f120175a9dda38b68b4962d63c57a0525f5e986286939a21311f631e6bf631b6f4685a6
CCTV9,http://39.107.95.182:3000/673168140
CCTV9,http://139.224.111.181:3000/673168140
CCTV9,http://124.77.202.8:49155/673168140
CCTV10,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=9c6a1ab729d3adc6e2f5ba338bda07535371af5ee57dcb0532416cf586ef29d714eea4b0851a86ed594275a2c825bd4e2c4a66340d947a28a27495618cbba42c
CCTV10,http://39.107.95.182:3000/624878405
CCTV10,http://139.224.111.181:3000/624878405
CCTV10,http://124.77.202.8:49155/624878405
CCTV11,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=b5592bcd1fbfbf261ba8d178a5e3cf4211ab82cf094aead773b1553c9476a9a8e2fa4618708011e15f0dc6f7e07cf95f2bdbba921e2877735e6c611383d13ef8
CCTV11,http://39.107.95.182:3000/667987558
CCTV11,http://139.224.111.181:3000/667987558
CCTV11,http://124.77.202.8:49155/667987558
CCTV12,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=9c6a1ab729d3adc6e2f5ba338bda0753fae9750bd764ca26a7c42bb818697b1082a26c881b449972bac6e212228ca9fc820ac17080ab596d962a5f1c53ad5f62
CCTV12,http://39.107.95.182:3000/673168185
CCTV12,http://139.224.111.181:3000/673168185
CCTV12,http://124.77.202.8:49155/673168185
CCTV12,http://124.165.251.82:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=9c6a1ab729d3adc6e2f5ba338bda07532e0f780ceef9a87e60cc2a70e9ea8413ef4123361b90f520776d1fa3a73150702e96c7333f0c1bb8585cb0e8d6de8eeb
CCTV13,http://39.107.95.182:3000/608807423
CCTV13,http://139.224.111.181:3000/608807423
CCTV13,http://124.77.202.8:49155/608807423
CCTV13,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8
CCTV14,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=9c6a1ab729d3adc6e2f5ba338bda0753a6df2964edce41a8446c438df450a006f6656c3bbe83c90dff94ae4a86c754b7cf0696f2ad6049d1f4139cee8f7f565d
CCTV14,http://39.107.95.182:3000/624878440
CCTV14,http://139.224.111.181:3000/624878440
CCTV14,http://124.77.202.8:49155/624878440
CCTV15,http://votv.vip:18080/00xx/TVOD/channelPlay.php?k=9cec8c81c8c68c5ff16d2ddbc5a2699a0d83ecd716ea0e48112cb5f8037d9b4b649a37f2570ef04538519fdd8469599f0c57ab208a4d0fa77718f8fd6b544ae4
CCTV15,http://39.107.95.182:3000/673168223
CCTV15,http://139.224.111.181:3000/673168223
CCTV15,http://124.77.202.8:49155/673168223
